PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
0,0.5,0.5,0.8,360.35,-12.049,0,14.7551,-1876.75,0,1.25e+15,1,0.5,0,CIRCLE,500,1
1,0.5,0.5,0.8,141.812,406.42,0,2107.1,-784.062,0,1.25e+15,1,0.5,0,CIRCLE,500,1
2,0.5,0.5,0.8,-313.12,-191.331,0,-881.656,1490.6,0,1.25e+15,1,0.5,0,CIRCLE,500,1
3,0.5,0.5,0.8,-293.886,367.379,0,1911.89,1394.43,0,1.25e+15,1,0.5,0,CIRCLE,500,1
4,0.5,0.5,0.8,175.896,-402.569,0,-1937.85,-954.48,0,1.25e+15,1,0.5,0,CIRCLE,500,1
5,0.5,0.5,0.8,197.688,396.703,0,2058.52,-1063.44,0,1.25e+15,1,0.5,0,CIRCLE,500,1
6,0.5,0.5,0.8,-103.013,-362.329,0,-1736.64,440.067,0,1.25e+15,1,0.5,0,CIRCLE,500,1
7,0.5,0.5,0.8,-35.3686,42.7171,0,288.586,101.843,0,1.25e+15,1,0.5,0,CIRCLE,500,1
8,0.5,0.5,0.8,238.424,148.979,0,819.896,-1267.12,0,1.25e+15,1,0.5,0,CIRCLE,500,1
9,0.5,0.5,0.8,107.469,147.714,0,813.572,-612.345,0,1.25e+15,1,0.5,0,CIRCLE,500,1
10,0.5,0.5,0.8,317.934,-39.046,0,-120.23,-1664.67,0,1.25e+15,1,0.5,0,CIRCLE,500,1
11,0.5,0.5,0.8,10.0404,8.24456,0,116.223,-125.202,0,1.25e+15,1,0.5,0,CIRCLE,500,1
12,0.5,0.5,0.8,291.878,2.2007,0,86.0035,-1534.39,0,1.25e+15,1,0.5,0,CIRCLE,500,1
13,0.5,0.5,0.8,-385.43,-89.6828,0,-373.414,1852.15,0,1.25e+15,1,0.5,0,CIRCLE,500,1
14,0.5,0.5,0.8,-327.639,-247.483,0,-1162.41,1563.19,0,1.25e+15,1,0.5,0,CIRCLE,500,1
15,0.5,0.5,0.8,189.526,337.037,0,1760.19,-1022.63,0,1.25e+15,1,0.5,0,CIRCLE,500,1
16,0.5,0.5,0.8,-297.629,75.2854,0,451.427,1413.15,0,1.25e+15,1,0.5,0,CIRCLE,500,1
17,0.5,0.5,0.8,350.006,121.718,0,683.588,-1825.03,0,1.25e+15,1,0.5,0,CIRCLE,500,1
18,0.5,0.5,0.8,78.0917,-453.162,0,-2190.81,-465.458,0,1.25e+15,1,0.5,0,CIRCLE,500,1
19,0.5,0.5,0.8,-287.609,-49.2346,0,-171.173,1363.04,0,1.25e+15,1,0.5,0,CIRCLE,500,1
